"MSRB Number","Firm Name","EBS ID"
A1157,"QUINCY CASS ASSOCIATES, INC.",QCAS
A3638,"TOCQUEVILLE SECURITIES L.P.",TOCQ
A7589,"2021 CAPITAL",TONE
A1061,"SANCTUARY SECURITIES, INC.",SWSS
A6172,"BNP PARIBAS SECURITIES CORP.",PARI
A2328,"HUNTINGTON INVESTMENT COMPANY",HUCO
A5141,"JH DARBIE & CO., INC.",JHDR
A7606,"ELEQUIN SECURITIES, LLC",EQNI
A4764,"TRUSTFIRST, INC.",LADY
A7637,"METRIC FINANCIAL, LLC",MFBD
A7424,"MORETON CAPITAL MARKETS, LLC",MOCM
A1007,"MOORS & CABOT, INC.",MCIN
A1313,"STIFEL, NICOLAUS & COMPANY,INC",STFL
A5045,"A.G.P. / ALLIANCE GLOBAL PARTNERS CORP.",AGPM
A3627,"LEVEL FOUR FINANCIAL, LLC",BURT
A6072,"FELTL & COMPANY",FLTL
A4721,"ROBERT BLUM MUNICIPALS, INC.",RBMU
A2841,"LB FISHER & COMPANY",FISH
A6901,"SPARTAN CAPITAL SECURITIES, LLC",SPNN
A6495,"PNC WEALTH MANAGEMENT LLC",PERM
A7075,"ARBOR RESEARCH & TRADING, LLC",ARTI
A7188,"PEAK BROKERAGE SERVICES, LLC",PBSL
A5061,"HIGGINS CAPITAL MANAGEMENT, INC.",HIGG
A0166,"ALLIANT SECURITIES INC.",BZTN
A0296,"COLONIAL SECURITIES, INC.",COLS
A4335,"ACCESS FINANCIAL GROUP, INC.",AFGI
A5975,"NELSON SECURITIES, INC.",NELS
A2625,"SATURNA BROKERAGE SERVICES, INC.",INCC
A2725,"REVERE SECURITIES LLC",KART
A7327,"STONEX FINANCIAL INC.",SNEX
A6819,"MURRAY SECURITIES, INC.",MJDW
A0862,"RF LAFFERTY AND CO., INC.",LAFB
A0953,"KEYBANC CAPITAL MARKETS INC.",KEYB
A0835,"KIMELMAN & BAIRD, LLC",KIML
A4017,"NOBLE CAPITAL MARKETS, INC.",NOBL
A0125,"SANFORD C BERNSTEIN & CO.,LLC",BERN
A7385,"TIGRESS FINANCIAL PARTNERS LLC",CYND
A6495,"PNC WEALTH MANAGEMENT LLC",PNCI
A7035,"BBVA SECURITIES INC.",LTIN
A4971,"TRADESTATION SECURITIES",TRAD
A0364,"DAVENPORT & COMPANY LLC",DAVA
B0144,"FHN FINANCIAL CAPITAL MARKETS",FTCM
A1673,"CETERA WEALTH SERVICES, LLC",ICAN
A1481,"HERBERT J SIMS & CO., INC.",HJSC
B0286,"UMB BANK, N.A.",UMBI
A5786,"US BOSTON CAPITAL CORPORATION",USBT
A1487,"CITIGROUP GLOBAL MARKETS INC.",CGMI
A6128,"WFS, LLC",WFSL
A3290,"DOMINARI SECURITIES LLC",NTMG
A1070,"FIFTH THIRD SECURITIES, INC.",OHIO
A3587,"SISUNG SECURITIES CORPORATION",SSNG
A0516,"FOLGER NOLAN FLEMING DOUGLAS",FNFD
A7121,"CAVU SECURITIES LLC",CAVU
A3389,"VOYA FINANCIAL ADVISORS, INC.",WING
A0118,"BENJAMIN SECURITIES, INC.",BNJM
A6379,"ALEXANDER INVESTMENT SERVICES CO.",ALIS
A1381,"UBS SECURITIES LLC",UBSW
A7609,"ATOMIC BROKERAGE LLC",ATVT
A5232,"JEFFERIES LLC",PJEF
A3653,"SAUER, DAZEY INVESTMENT COMPANY",SDIC
A7471,"ARKADIOS CAPITAL",ARKI
A7511,"VIRTUS CAPITAL MARKETS LLC",VCMM
A1475,"MURIEL SIEBERT & CO., LLC",STOX
A3743,"BUTTONWOOD PARTNERS, INC.",BPWP
A6113,"DAVINCI CAPITAL MANAGEMENT",DCMI
A3303,"REALTA EQUITIES, INC.",COAS
A5322,"LESKO SECURITIES, INC.",LSKO
A5409,"FIRSTRADE SECURITIES INC.",FFSI
A4861,"NORTHLAND SECURITIES, INC.",NORT
A5441,"WORLD EQUITY GROUP, INC.",WEGI
A4458,"SYNDICATED CAPITAL, INC.",SYCA
A5111,"SOUTHEAST INVESTMENTS, N.C. INC.",SEIN
A7460,"STATE STREET GLOBAL MARKETS, LLC",SSGM
A1172,"RAYMOND JAMES & ASSOC., INC.",RAJA
A6746,"ACP SECURITIES, LLC",ACPS
A7167,"LPS CAPITAL LLC",LPSP
A3678,"MULTI-BANK SECURITIES, INC.",MTBK
A3858,"ACADEMY SECURITIES, INC.",ACAD
A2605,"AMERICAN GLOBAL WEALTH MANAGEMENT, INC.",WIDS
A1784,"BETTINGER & LEECH FINANCIAL CO",BLFC
